Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Create Movie,2000,108,2,883,176.13,0.000%,187.81106,34.85,42.18,190.0
TOTAL,2000,108,2,883,176.13,0.000%,187.81106,34.85,42.18,190.0
